n_ind	rep	grp	method	n_called	TP	FP	FN	FDR	power	precision	F1
100	1	Individual tool	edgeR	126	31	95	19	0.753968253968254	0.62	0.246031746031746	0.352272727272727
100	1	Individual tool	DESeq2	28	22	6	28	0.214285714285714	0.44	0.785714285714286	0.564102564102564
100	1	Individual tool	ALDEx2	15	15	0	35	0	0.3	1	0.461538461538462
100	1	Individual tool	metaSeq	30	23	7	27	0.233333333333333	0.46	0.766666666666667	0.575
100	1	Individual tool	ADAPT	25	25	0	25	0	0.5	1	0.666666666666667
100	1	Individual tool	ANCOMBC2	79	10	69	40	0.873417721518987	0.2	0.126582278481013	0.155038759689922
100	1	Individual tool	MaAsLin3	9	9	0	41	0	0.18	1	0.305084745762712
100	1	Consensus rule	Union (1 of 7)	171	34	137	16	0.801169590643275	0.68	0.198830409356725	0.307692307692308
100	1	Consensus rule	2 of 7	62	27	35	23	0.564516129032258	0.54	0.435483870967742	0.482142857142857
100	1	Consensus rule	3 of 7	26	23	3	27	0.115384615384615	0.46	0.884615384615385	0.605263157894737
100	1	Consensus rule	4 of 7	23	21	2	29	0.0869565217391304	0.42	0.91304347826087	0.575342465753425
100	1	Consensus rule	5 of 7	14	14	0	36	0	0.28	1	0.4375
100	1	Consensus rule	6 of 7	10	10	0	40	0	0.2	1	0.333333333333333
100	1	Consensus rule	Intersect (7 of 7)	6	6	0	44	0	0.12	1	0.214285714285714
100	2	Individual tool	edgeR	156	35	121	15	0.775641025641026	0.7	0.224358974358974	0.339805825242718
100	2	Individual tool	DESeq2	44	25	19	25	0.431818181818182	0.5	0.568181818181818	0.531914893617021
100	2	Individual tool	ALDEx2	21	21	0	29	0	0.42	1	0.591549295774648
100	2	Individual tool	metaSeq	27	24	3	26	0.111111111111111	0.48	0.888888888888889	0.623376623376623
100	2	Individual tool	ADAPT	24	24	0	26	0	0.48	1	0.648648648648649
100	2	Individual tool	ANCOMBC2	66	24	42	26	0.636363636363636	0.48	0.363636363636364	0.413793103448276
100	2	Individual tool	MaAsLin3	15	15	0	35	0	0.3	1	0.461538461538462
100	2	Consensus rule	Union (1 of 7)	186	36	150	14	0.806451612903226	0.72	0.193548387096774	0.305084745762712
100	2	Consensus rule	2 of 7	59	29	30	21	0.508474576271186	0.58	0.491525423728814	0.532110091743119
